Epoch,Running_Model_Loss,Running_Model_Accuracy,SGD_Model_Loss,SGD_Model_Accuracy
0,,,0.26138108043344155,92.45
1,,,0.32088657033742424,92.19
2,,,0.33015146528839306,92.61
3,,,0.3259138900187507,92.83
4,,,0.3389539838127887,92.77
5,,,0.3530146335844828,92.81
6,,,0.35782445995670975,92.83
7,,,0.36815535255179854,92.79
8,,,0.37287292672190697,92.85
9,,,0.378779996070821,92.83
10,,,0.38519876044552037,92.81
11,,,0.3897060559332893,92.82
12,,,0.39283465610069646,92.82
13,,,0.396606132346591,92.83
14,,,0.40304840286707233,92.86
15,,,0.40490642463740933,92.87
16,,,0.40749025041723896,92.86
17,,,0.41086213087817286,92.89
18,,,0.41415340225004654,92.85
19,,,0.4160206865839613,92.88
20,,,0.4189169977429756,92.96
21,,,0.4224908816580702,92.92
22,,,0.4242760318488618,92.86
23,,,0.42669885273827063,92.91
24,,,0.4287039392248128,92.84
25,,,0.4303113848332814,92.96
26,,,0.43385209004946385,92.94
27,,,0.4361234497735692,92.93
28,,,0.43737028351729845,92.91
29,,,0.43963207772066876,92.97
30,,,0.44099922719927637,92.9
31,,,0.44302857009053326,92.99
32,,,0.44432833024365886,92.93
33,,,0.4466983683697974,92.94
34,,,0.4481640954332865,92.94
35,,,0.4500869231856173,92.98
36,,,0.4510056623761916,92.98
37,,,0.4529851300873242,92.93
38,,,0.45444632876237295,93.03
39,,,0.4555321958725738,92.98
40,,,0.45660086291260826,93.0
41,,,0.4584231007514984,92.97
42,,,0.4593281709013661,93.01
43,,,0.460765663451355,92.97
44,,,0.4625431212291098,92.99
45,,,0.4634917269113835,93.03
46,,,0.4648878700426145,92.97
47,,,0.46594106288223414,92.96
48,,,0.46728872251400283,92.98
49,,,0.46817073682738336,93.01
50,,,0.46906796442255805,93.01
51,,,0.47085363562604426,92.99
52,,,0.4713941604317207,92.98
53,,,0.47309116843737853,93.0
54,,,0.4735015963936806,92.99
55,,,0.47491830372055815,92.99
56,,,0.47608738500257114,92.97
57,,,0.47700975717721616,93.02
58,,,0.4779583858741317,92.99
59,,,0.47867516211269623,93.0
