Epoch,Running_Model_Loss,SWA_Model_Loss,Running_Model_Accuracy,SWA_Model_Accuracy
0,0.2739410563520375,0.2739410563520375,92.07,92.07
1,0.2850771504128055,0.27695618431042335,92.19,92.31
2,0.2898905986955591,0.27985597147968166,92.41,92.4
3,0.29597041282541814,0.28287730808518113,92.48,92.43
4,0.3002548096701503,0.285436858547626,92.47,92.49
5,0.30629531235380725,0.28819947021829473,92.34,92.47
6,0.31152699990375976,0.2908993346474258,92.49,92.46
7,0.31755124647051663,0.29356294170994857,92.47,92.47
8,0.31817216400626547,0.295780619428416,92.49,92.45
9,0.32230337332507036,0.298068675248154,92.53,92.45
10,0.3231523942593841,0.29999766341013134,92.67,92.49
11,0.3313876297858775,0.3022578515907287,92.51,92.47
12,0.33139041404293224,0.3042465982436659,92.58,92.48
13,0.3346049679431376,0.3061567492794934,92.61,92.5
14,0.3365491482660554,0.3079731169447398,92.63,92.54
15,0.3394895518008786,0.3096998068711655,92.68,92.54
16,0.3423962982632457,0.3114132446883495,92.6,92.54
17,0.34477104093571,0.3130710665611135,92.66,92.54
18,0.34705456002811147,0.314685124447154,92.73,92.57
19,0.34951991228991824,0.3162214082137794,92.61,92.58
20,0.3517429922369255,0.3177719321576463,92.68,92.57
21,0.3546257938323602,0.31927982125146565,92.7,92.54
22,0.35714267843824093,0.320769961786925,92.65,92.53
23,0.3581007908626347,0.32214257300825444,92.67,92.54
24,0.3616719732867779,0.32358278243381317,92.59,92.53
25,0.36304065403024294,0.3249233917623853,92.65,92.56
26,0.3645056828524277,0.32623102294079437,92.73,92.56
27,0.3651260491282602,0.32745998871222043,92.69,92.58
28,0.36694993546149535,0.3286981608564402,92.71,92.59
29,0.3690445504216537,0.3299310507525684,92.73,92.59
30,0.3717969949683471,0.33120612051504056,92.67,92.6
31,0.3723646317887458,0.33237513427616683,92.68,92.59
32,0.37318578612201725,0.33348445540922844,92.67,92.58
33,0.37511189999711364,0.33458780438585833,92.68,92.61
34,0.37659545523369575,0.33569545604905504,92.64,92.61
35,0.3794280480427347,0.33675205676703696,92.67,92.61
36,0.38014391303703093,0.33782498090035595,92.64,92.65
37,0.38111583209317773,0.33885293372070335,92.66,92.63
38,0.38244249288491006,0.33985601078457894,92.68,92.65
39,0.384322651311945,0.3408610961002529,92.63,92.69
