Epoch,Running_Model_Loss,SWA_Model_Loss,Running_Model_Accuracy,SWA_Model_Accuracy,pSWA_Model_Loss,pSWA_Model_Accuracy
0,0.2789247623128686,,92.16,,0.2789247623128686,92.16
1,0.29029248660774365,,92.33,,0.28175768154157194,92.27
2,0.29348496440204846,,92.33,,0.2840744248905759,92.34
3,0.2966630487186704,,92.33,,0.28613287262666,92.41
4,0.3026287837820068,,92.34,,0.28823676437234425,92.46
5,0.30608681829017437,,92.45,,0.2906502568085862,92.4
6,0.31110482315301513,,92.49,,0.2928904686241772,92.36
7,0.31206415604301696,,92.46,,0.2948112254784365,92.33
8,0.31934975672536975,,92.48,,0.2970843788675347,92.39
9,0.3261112802881439,,92.52,,0.2994203747066248,92.42
10,0.32577037271468123,,92.59,,0.3014983720543563,92.43
11,0.32908474980218777,,92.56,,0.3035159683400753,92.48
12,0.3317435001539197,,92.64,,0.3054032827413101,92.48
13,0.33555744925312175,,92.59,,0.3072734628003209,92.52
14,0.33654369168268267,,92.57,,0.30899240413478984,92.52
15,0.3412049500164902,,92.62,,0.31078179688400526,92.5
16,0.3440125295892358,,92.58,,0.3125337254149234,92.53
17,0.34652357719316607,,92.62,,0.3142207462435505,92.55
18,0.3480750100188859,,92.68,,0.315781212987224,92.55
19,0.35008733268756015,,92.64,,0.31735497187514594,92.56
20,0.3524926344680179,,92.63,,0.31885889858292166,92.56
21,0.3550586912211529,,92.64,,0.3203233595712075,92.57
22,0.3567485729066335,,92.68,,0.3217890803838611,92.59
23,0.3595415989150572,,92.68,,0.3231462500811477,92.58
24,0.362028086148677,,92.64,,0.3245862721091813,92.61
25,0.36343452657697495,,92.64,,0.3258793762155399,92.59
26,0.36453888610385027,,92.64,,0.3271633460999105,92.58
27,0.36611457895131627,,92.64,,0.32838344448809603,92.57
28,0.3681612178730737,,92.66,,0.3296359499655427,92.6
29,0.37045890959513605,,92.59,,0.3308124437655328,92.56
30,0.3720434956003431,,92.62,,0.33206152953326135,92.58
31,0.3724998029031951,,92.59,,0.33322127665849816,92.58
32,0.3750670252035663,,92.64,,0.3343643605246381,92.57
33,0.37619134113429836,,92.65,,0.33546736252725506,92.57
34,0.37849503278637386,,92.62,,0.3365775509826412,92.56
35,0.3794699730410887,,92.63,,0.33769388045451254,92.57
36,0.380755900607035,,92.63,,0.3386972195344271,92.56
37,0.3821525476445818,,92.6,,0.3397300921938127,92.59
38,0.383558314934278,,92.63,,0.340769470117654,92.61
39,0.38505308322347465,,92.63,,0.3417868539394372,92.58
