Epoch,Running_Model_Loss,SWA_Model_Loss,Running_Model_Accuracy,SWA_Model_Accuracy,pSWA_Model_Loss,pSWA_Model_Accuracy
0,0.2677156149059724,,92.32,,0.2677156149059724,92.32
1,0.31484340902441627,,92.42,,0.2828855180377319,92.61
2,0.35055290557633917,,91.87,,0.29294566049056636,92.48
3,0.3657714779233667,,92.01,,0.30044965796575995,92.53
4,0.42019406525762215,,91.59,,0.30601766828898413,92.49
5,0.4238474042730252,,91.53,,0.31047586415105377,92.72
6,0.35525274141928903,,93.03,,0.31317833639610154,92.87
7,0.3641410930538965,,93.13,,0.3175416944791699,92.92
8,0.3668158525277736,,93.1,,0.321755619387433,92.97
9,0.3713512940815751,,93.07,,0.32581400655648984,93.05
10,0.3772799069963538,,93.02,,0.3296797920558246,93.09
11,0.38570176782294113,,93.07,,0.33371432744571644,93.09
12,0.3909484714367516,,93.0,,0.3374086878570924,93.1
13,0.3986086815485885,,93.04,,0.34122969185826696,93.1
14,0.40246377616029255,,93.1,,0.3448044263793357,93.14
15,0.4042141794577051,,92.98,,0.34809019748465553,93.13
16,0.4056693589356342,,93.03,,0.35104075320670086,93.11
17,0.40764696964590696,,92.99,,0.3538421911163742,93.12
18,0.4106305584483513,,93.05,,0.3565529044272651,93.11
19,0.41458477603959715,,93.03,,0.35914386970074075,93.16
20,0.4195008592436885,,93.04,,0.3617384091870871,93.14
21,0.4230433665393929,,93.12,,0.36424269694182426,93.13
22,0.4245545043495845,,93.0,,0.3666366453172793,93.12
23,0.4258231842952668,,93.03,,0.3688664775501913,93.1
24,0.42667649339834096,,93.05,,0.37092946396968596,93.1
25,0.42800205026065136,,93.01,,0.37296243333020457,93.1
26,0.42953707649117445,,93.03,,0.37489964864157427,93.1
27,0.432575483648492,,93.07,,0.37673020353066217,93.1
28,0.43646148462619655,,93.08,,0.37864538862304703,93.11
29,0.43853566432920443,,93.07,,0.3804532717883729,93.11
30,0.4395950880045498,,93.06,,0.38221128647227526,93.1
31,0.4407081061990481,,93.07,,0.38384935546185894,93.11
32,0.4411634015902628,,93.07,,0.38545914424085026,93.11
33,0.4423861117124451,,93.06,,0.3870138102477998,93.1
34,0.44368924649438235,,93.01,,0.3884722007895304,93.1
35,0.4456887239275892,,93.05,,0.3899508780965902,93.1
36,0.44848945799690026,,93.04,,0.3914298268915955,93.1
