Epoch,Running_Model_Loss,SWA_Model_Loss,Running_Model_Accuracy,SWA_Model_Accuracy
0,0.26501883876029475,0.26501883876029475,92.31,92.31
1,0.32957440544109623,0.282654122224042,92.14,92.58
2,0.3319703146821232,0.28999448577120046,92.36,92.64
3,0.34543821268424296,0.29802337963027276,92.65,92.7
4,0.37030119095353564,0.30199904520669657,91.91,92.76
5,0.3474172700647336,0.3061093634296992,92.78,92.87
6,0.35822874509320135,0.3111867390003554,92.77,92.91
7,0.36282326238360374,0.31619664780783713,93.03,92.98
8,0.36549621626770323,0.3206636810995591,92.95,92.96
9,0.3709248496741531,0.3246091888612433,93.05,92.98
10,0.3790565993352111,0.32883886316091204,93.05,93.04
11,0.38535158028885436,0.3328810995711595,93.0,93.03
12,0.3944134853430282,0.3368771329468745,93.03,93.07
13,0.4009682666673473,0.3407582600695929,93.03,93.07
14,0.4038047654254682,0.344377502223631,93.06,93.1
15,0.406493902821865,0.34774338073470884,93.08,93.09
16,0.40719138587095366,0.3507904624329156,93.08,93.08
17,0.40915078844335284,0.3536696206707104,93.08,93.1
18,0.4124201288577288,0.35644980637463414,93.0,93.09
19,0.41702365629659716,0.35919166548225057,93.03,93.07
20,0.4206663338307315,0.3617978124748797,93.1,93.08
21,0.4255982651019315,0.3644245662459522,93.01,93.06
22,0.42654686573608097,0.3668291895549483,93.08,93.06
23,0.42846483941290786,0.369141918043517,93.05,93.09
24,0.42888843914743063,0.37126679869463586,93.03,93.09
25,0.4303828189045689,0.37339849545988163,93.06,93.09
26,0.43307948209920744,0.3754410531362934,93.03,93.09
27,0.434550422871082,0.37729273293802074,93.0,93.07
28,0.43695893382155304,0.379144713367116,92.99,93.06
29,0.4400298013633627,0.3809933356590759,93.03,93.06
30,0.44174512353974876,0.38279618849906666,93.03,93.05
31,0.4432235328602207,0.384505216422295,93.03,93.06
32,0.44361598450826945,0.386134995705193,93.01,93.06
33,0.44457781281037506,0.38769343649600724,93.03,93.03
34,0.44600493596587926,0.3892198259954098,93.01,93.06
35,0.44900750168035647,0.39070154612759356,93.03,93.04
36,0.4507804003249035,0.3922180272060429,93.02,93.04
37,0.45262093432796346,0.3937254344012327,93.02,93.03
